"Field","Type","Null","Key","Default","Extra"
"DiasConsumo","int(5)","YES","","",""
"HorasConsumo","int(5)","YES","","",""
"FechaConsumo","datetime","YES","","",""
"DiasFabricacion","int(5)","YES","","",""
"HorasFabricacion","int(5)","YES","","",""
"FechaFabricacion","datetime","YES","","",""
"LogoEtiqueta","varchar(1000)","YES","","",""
"CodInterno","int(11)","YES","","",""
"EANScannerArticulo","varchar(20)","YES","","",""
"TextoLote","text","YES","","",""
"IdClase","int(11)","YES","","",""
"NombreClase","varchar(25)","YES","","",""
"IdElemAsociado","bigint(12)","YES","","",""
"NombreElemAsociado","varchar(25)","YES","","",""
"IdFamilia","int(11)","YES","","",""
"NombreFamilia","varchar(25)","YES","","",""
"IdSeccion","int(11)","YES","","",""
"NombreSeccion","varchar(30)","YES","","",""
"IdSubFamilia","int(11)","YES","","",""
"NombreSubFamilia","varchar(25)","YES","","",""
"IdDepartamento","int(11)","YES","","",""
"NombreDepartamento","varchar(25)","YES","","",""
"Texto1","text","YES","","",""
"Texto2","text","YES","","",""
"Texto3","text","YES","","",""
"Texto4","text","YES","","",""
"Texto5","text","YES","","",""
"Texto6","text","YES","","",""
"Texto7","text","YES","","",""
"Texto8","text","YES","","",""
"Texto9","text","YES","","",""
"Texto10","text","YES","","",""
"Texto11","text","YES","","",""
"Texto12","text","YES","","",""
"Texto13","text","YES","","",""
"Texto14","text","YES","","",""
"Texto15","text","YES","","",""
"Texto16","text","YES","","",""
"Texto17","text","YES","","",""
"Texto18","text","YES","","",""
"Texto19","text","YES","","",""
"Texto20","text","YES","","",""
"TextoLibre","text","YES","","",""
"PesoPieza","decimal(11,3)","YES","","",""
"UnidadesCaja","int(11)","YES","","",""
"Facturada","tinyint(1)","YES","","0",""
"IdCampania","int(11)","YES","","",""
"NombreCampania","varchar(50)","YES","","",""
"IdArticuloVisualizado","int(11)","YES","","",""
"ProductoEnPromocion","tinyint(1)","YES","","",""
"IdContenedor","int(11)","YES","","",""
"NombreContenedor","varchar(50)","YES","","",""
"IdTipoContenedor","int(11)","YES","","",""
"NombreTipoContenedor","varchar(50)","YES","","",""
"NombrePlataforma","varchar(50)","YES","","",""
"HayTaraAplicada","smallint(2)","YES","","0",""
"Modificado","tinyint(1)","YES","MUL","",""
"Operacion","char(1)","YES","","",""
"Usuario","varchar(20)","YES","","",""
"TimeStamp","timestamp","YES","","CURRENT_TIMESTAMP",""
"IdPedido","bigint(20)","YES","","0",""
"IdLineaPedido","int(11)","YES","","0",""
"GrupoPedido","varchar(2)","YES","","0",""
"LineaCerrada","tinyint(1)","YES","","0",""
